,sg_symbol,sg_number
mp-754759,R-3c,167
mp-778873,Pnma,62
mp-570597,P-3m1,164
mp-542842,C2/c,15
mp-976128,P-62m,189
mp-334,P6_3cm,185
mp-676319,Pmma,51
mp-974738,I4/mmm,139
mp-6426,Pna2_1,33
mp-19950,P4_12_12,92
mp-558238,Pnma,62
mp-767302,P1,1
mp-755323,P4/nmm,129
mp-17562,R-3,148
mp-765977,Cc,9
mp-24171,P2_1/c,14
mp-571342,I4_1/amd,141
mp-640584,Cc,9
mp-773397,P2_1/c,14
mp-9488,R-3m,166
mp-757793,Pc,7
mp-766861,P2_1/c,14
mp-30392,F-43m,216
mp-764256,P2_1,4
mp-553926,Fdd2,43
mp-31817,C2/c,15
mp-773220,R3m,160
mp-850073,P1,1
mp-574283,Fm-3m,225
mp-19365,R-3m,166
mp-28400,P-1,2
mp-758806,Pbca,61
mp-850436,Cm,8
mp-777804,Pnma,62
mp-776727,P2_1/c,14
mp-554912,P2_1/c,14
mp-8355,P6_3,173
mp-23496,Pnma,62
mp-765744,Cc,9
mp-28857,Pbcn,60
mp-561018,R-3c,167
mp-6486,P3_121,152
mp-771430,C2/c,15
mp-646426,P4/mbm,127
mp-762855,P2/m,10
mp-762533,Pnma,62
mp-604594,P2_1/m,11
mp-2284,Pbca,61
mp-705456,Pc,7
mp-689973,P2_1,4
mp-694722,P-1,2
mp-850764,P1,1
mp-644203,Pm-3m,221
mp-971768,P6_3/mmc,194
mp-10133,Pm-3m,221
mp-771625,C2,5
mp-763970,P1,1
mp-2352,Fm-3m,225
mp-556075,Pnma,62
mp-674421,P1,1
mp-7379,Pnma,62
mp-614981,P4/mmm,123
mp-27362,C2/m,12
mp-769222,Fd-3m,227
mp-25182,C2/m,12
mp-32425,Cmcm,63
mp-777149,P-1,2
mp-3182,P2/m,10
mp-13449,P6/mmm,191
mp-759866,P2_1/c,14
mp-30453,F-43m,216
mp-458,R-3c,167
mp-11520,F-43m,216
mp-972529,I4/mmm,139
mp-571061,P2_1/m,11
mp-756769,P2_1/m,11
mp-674984,Cm,8
mp-15408,Pnma,62
mp-696673,C2/m,12
mp-781693,Cm,8
mp-631376,F-43m,216
mp-754175,P2_1,4
mp-850258,P1,1
mp-27303,Ibam,72
mp-781646,Pnma,62
mp-571542,C2/m,12
mp-556303,P2_1/c,14
mp-560051,P2_1/c,14
mp-38951,Imma,74
mp-27234,P2_1,4
mp-13840,R-3,148
mp-677520,P1,1
mp-565693,C2/m,12
mp-770862,P-1,2
mp-20865,P6_3mc,186
mp-625663,Pnma,62
mp-504576,Pnma,62
mp-974505,Pm-3m,221
mp-566949,P6_3/mmc,194
mp-764491,P1,1
mp-504574,Fd-3m,227
mp-753640,I2_12_12_1,24
mp-850341,Cm,8
mp-20106,P4/nmm,129
mp-974758,I4/mmm,139
mp-974463,Fm-3m,225
mp-650727,P4/mbm,127
mp-752537,Pbam,55
mp-25118,P2_1/m,11
mp-722729,P-1,2
mp-37386,I-42d,122
mp-757826,R3,146
mp-8759,Cmcm,63
mp-761564,P1,1
mp-38035,R-3c,167
mp-766738,P321,150
mp-504613,Cmmm,65
mp-675042,P-1,2
mp-976229,Pm-3m,221
mp-30554,Pmma,51
mp-975037,Fm-3m,225
mp-766275,Cm,8
mp-605302,P2_1/c,14
mp-643397,Fm-3m,225
mp-676023,P4_2/mmc,131
mp-626506,Cm,8
mp-626225,Pc,7
mp-772374,R3,146
mp-30541,C2/c,15
mp-1828,Fd-3m,227
mp-3867,P6/mmm,191
mp-22612,I-42m,121
mp-776985,P1,1
mp-8697,R-3c,167
mp-976590,Fm-3m,225
mp-19034,Cmce,64
mp-566771,Cm,8
mp-616544,C2/m,12
mp-5639,Fd-3m,227
mp-631374,Fm-3m,225
mp-559934,Pna2_1,33
mp-28201,Cmcm,63
mp-531170,P2_1,4
mp-556834,P2/c,13
mp-868532,C2,5
mp-556112,C2/c,15
mp-773079,P2_1/c,14
