,sg_symbol,sg_number
mp-22866,Fm-3m,225
mp-642737,R-3m,166
mp-555036,Pm-3m,221
mp-23792,P-1,2
mp-556247,Pnma,62
mp-540956,P6_3/m,176
mp-505467,Pmmn,59
mp-542604,P2_1/c,14
mp-559268,P-1,2
mp-769262,Pbca,61
mp-772397,Cmc2_1,36
mp-580192,Immm,71
mp-982778,P6_3/mmc,194
mp-755013,C2/m,12
mp-11515,Pmma,51
mp-30427,I4/mmm,139
mp-560629,Pna2_1,33
mp-2908,Fd-3m,227
mp-24181,C2,5
mp-4350,Pnma,62
mp-18300,Pnma,62
mp-974672,P6_3/mmc,194
mp-766134,Cmc2_1,36
mp-699473,Cmcm,63
mp-626876,Cmce,64
mp-553912,R-3c,167
mp-762247,P2_12_12_1,19
mp-531572,P-1,2
mp-972641,Fm-3m,225
mp-28773,P2_1/c,14
mp-770870,Pnma,62
mp-721342,P-1,2
mp-984614,I4/mmm,139
mp-780448,P3_121,152
mp-743619,C2/c,15
mp-567276,Fd-3m,227
mp-23165,R-3,148
mp-765120,P-1,2
mp-572874,P-1,2
mp-511,Cmcm,63
mp-569638,P6_3/mmc,194
mp-775354,Aea2,41
mp-20765,Pnma,62
mp-763349,Pnma,62
mp-766799,R3m,160
mp-1599,Cm,8
mp-25482,P2_1/m,11
mp-5178,Fd-3m,227
mp-972869,Fm-3m,225
mp-540450,C2/c,15
mp-767651,Pca2_1,29
mp-772442,R3,146
mp-567744,Pnma,62
mp-972985,Pm-3m,221
mp-978515,Fm-3m,225
mp-560151,P6_422,181
mp-18104,Cmcm,63
mp-973653,Fm-3m,225
mp-541053,P2_1/c,14
mp-541863,I-4,82
mp-763930,Cm,8
mp-555435,P2_1/c,14
mp-11945,Cmcm,63
mp-774255,P2_1/m,11
mp-760396,I4_1md,109
mp-743598,R3c,161
mp-975972,Fm-3m,225
mp-561241,P2_1/c,14
mp-756458,Pnma,62
mp-764399,C2/m,12
mp-619836,C2/m,12
mp-756953,P2_1,4
mp-765682,Cm,8
mp-25571,R-3m,166
mp-568773,P2_1/c,14
mp-567554,P6_3/mcm,193
mp-607953,Pc,7
mp-773224,P2,3
mp-766570,C2/m,12
mp-21742,Pnma,62
mp-763635,Pna2_1,33
mp-21316,Pnma,62
mp-764690,Imma,74
mp-12118,P6_3/mmc,194
mp-554682,I-4,82
mp-624,R-3m,166
mp-558650,C2/m,12
mp-556078,Pbam,55
mp-768556,P2_1/m,11
mp-778593,P1,1
mp-565307,C2,5
mp-22342,P2_1/c,14
mp-29304,Pnma,62
mp-773964,P3m1,156
mp-560453,C2,5
mp-4299,P-62m,189
mp-756035,Pm,6
mp-974631,Pm-3m,221
mp-781127,P1,1
mp-569051,Pca2_1,29
mp-992,P6/mmm,191
mp-32045,P2_1/c,14
mp-707938,P2_1/c,14
mp-743617,P1,1
mp-13771,Ia-3d,230
mp-558131,Fd-3m,227
mp-778789,Pnnm,58
mp-568744,Cmce,64
mp-565530,P2/c,13
mp-559204,P2_1/c,14
mp-23884,I-42d,122
mp-753883,P1,1
mp-765031,Pnma,62
mp-30278,I4/mcm,140
mp-763956,P2_1/m,11
mp-770464,P2_1/c,14
mp-10647,Pm-3m,221
mp-565430,P-3,147
mp-31419,R-3m,166
mp-2768,I4/mmm,139
mp-672945,P2_1/c,14
mp-6138,P4/nmm,129
mp-555559,Pnma,62
mp-777067,P2_1,4
mp-752833,P2_1/c,14
mp-765851,P6_3/mmc,194
mp-695805,P-1,2
mp-673117,C2/c,15
mp-23955,P-1,2
mp-767053,P1,1
mp-849350,P-1,2
mp-743594,P4_32_12,96
mp-568495,P6_3,173
mp-756935,I-43m,217
mp-38238,P1,1
mp-604239,Pnnm,58
mp-754117,Pmn2_1,31
mp-640765,Pnma,62
mp-28218,Pnma,62
mp-555556,P4_2/mbc,135
mp-25160,Pbcm,57
mp-556438,P4/nmm,129
mp-15931,Pnma,62
mp-775546,P1,1
mp-754444,Fddd,70
mp-30913,Cmcm,63
mp-773330,R3m,160
mp-623837,C2,5
mp-30057,Pnma,62
mp-868644,P4_322,95
mp-773507,R3,146
mp-778969,P2_1/m,11
mp-568659,P2_1/c,14
mp-762025,C2/c,15
mp-561647,Cmcm,63
mp-18748,I4_1md,109
mp-674972,C2/m,12
mp-11923,Fddd,70
mp-556440,R-3,148
mp-767076,P2_1/c,14
mp-10197,Fm-3m,225
mp-569026,P4/mcc,124
mp-21439,Pnma,62
mp-19927,P6_3/mmc,194
mp-23494,I23,197
mp-1655,Fd-3m,227
mp-761676,R-3m,166
mp-743660,C2/m,12
mp-9293,Imm2,44
mp-979982,I4/mmm,139
mp-7656,Pbca,61
mp-755148,P2_1/m,11
mp-13451,P2_1/m,11
mp-19521,Pbcn,60
mp-557123,P2_1/c,14
mp-759435,P2_12_12_1,19
mp-17066,P2_12_12_1,19
mp-28677,Amm2,38
mp-569608,P2_1/c,14
mp-32430,Pna2_1,33
mp-767232,P2_1,4
mp-2699,R-3m,166
mp-774616,P2_1/c,14
mp-540837,Pnma,62
mp-894,P4/mmm,123
mp-762875,Pnma,62
mp-767414,P2_1/m,11
mp-31407,P4nc,104
mp-662643,Pbca,61
mp-504600,P2_1/c,14
mp-11191,P6_422,181
mp-31324,Cmcm,63
mp-707840,P-1,2
mp-680111,P3m1,156
mp-769789,P1,1
mp-1251,P4/mmm,123
mp-655461,Cc,9
mp-37521,I-42d,122
mp-541692,P2_1/c,14
mp-775459,P2_1/c,14
mp-32761,P6_422,181
mp-780198,P-1,2
mp-617312,Pnma,62
mp-573658,C2/c,15
mp-566511,Pna2_1,33
mp-769677,Pnma,62
mp-684728,P3m1,156
mp-7601,C2/m,12
mp-771561,Pm,6
mp-30789,I4/mmm,139
mp-778779,C2/m,12
mp-604558,P2_1/c,14
mp-566993,Imma,74
mp-542804,P6_3/mcm,193
mp-25619,P-1,2
mp-773247,P1,1
mp-3648,Fm-3m,225
mp-755565,R-3m,166
mp-773436,P-1,2
mp-769397,R-3,148
mp-697769,C2/c,15
mp-20155,I4/mcm,140
mp-770600,P2/c,13
mp-18581,P-62m,189
mp-765204,P2_1,4
mp-760093,Cmc2_1,36
mp-772365,P2_1/c,14
mp-638374,P4/mmm,123
mp-777685,R3,146
mp-551250,P4/mmm,123
mp-28893,I4_1/amd,141
mp-764366,P2/m,10
mp-6073,Ia-3d,230
mp-556781,P6_3,173
mp-696878,C2/m,12
mp-20140,Fm-3m,225
mp-22740,P6_3/mmc,194
mp-10856,P4/mbm,127
mp-973769,Fm-3m,225
mp-752922,R-3,148
mp-31301,P6_3mc,186
mp-23015,P6_3/mmc,194
mp-780896,R3,146
mp-567252,P-42_1c,114
mp-757430,C2/m,12
mp-28979,Pm-3n,223
mp-561202,P2_13,198
mp-775437,R3,146
mp-971855,Ibam,72
mp-721617,Pmn2_1,31
mp-758224,P1,1
mp-19809,Pnma,62
mp-1460,R-3m,166
mp-571315,P-62m,189
mp-10654,Pm-3m,221
mp-775825,P2/m,10
mp-756229,Fd-3m,227
mp-849748,Pbca,61
mp-505512,Pnma,62
mp-752753,C2/c,15
mp-707135,P-1,2
mp-32059,C2,5
mp-2836,P6_3/mcm,193
mp-561017,R-3,148
mp-6622,Cmcm,63
mp-849231,C2,5
mp-567503,P6_3mc,186
mp-761298,Pnma,62
mp-28568,P2_1/c,14
mp-868255,Cm,8
mp-654812,R-3m,166
mp-30039,P2_1/c,14
mp-27135,P2_1/c,14
mp-559118,C2/m,12
mp-2806,P4/mmm,123
mp-541844,P-4c2,116
mp-758587,Pnma,62
mp-625641,P1,1
mp-14100,Fd-3m,227
mp-765953,Cmcm,63
mp-648179,P-1,2
mp-29138,P4/mbm,127
mp-19044,Cmcm,63
mp-556520,P4_2/mnm,136
mp-556695,P2_1/c,14
mp-32850,I-42d,122
mp-850400,Pnma,62
mp-573541,Im-3m,229
mp-505258,P4/nmm,129
mp-30863,Pm-3,200
mp-30002,R-3,148
mp-571156,Pmc2_1,26
mp-13854,P6_3/mmc,194
mp-4338,Fd-3m,227
mp-569715,P-31c,163
mp-17382,P6_3/m,176
mp-23319,P6_3/mmc,194
mp-743676,P2_1/c,14
mp-977107,Pm-3m,221
mp-28419,P2_1/c,14
mp-567645,Pna2_1,33
mp-760304,Pna2_1,33
mp-777096,I4_1/amd,141
mp-771783,C2/m,12
mp-1804,P6_322,182
mp-768197,Immm,71
mp-768518,Cmcm,63
mp-23155,Fm-3m,225
mp-767670,P1,1
mp-771510,Cm,8
mp-769373,Fd-3,203
mp-764851,P2_1/m,11
mp-677516,Pm,6
mp-570642,P-3m1,164
mp-945077,Cmcm,63
mp-764011,P2_1/c,14
mp-571015,Cmce,64
mp-13206,R-3m,166
mp-567309,Pnma,62
mp-763900,P2_1/m,11
mp-762187,P2_1/c,14
mp-13603,Pbca,61
mp-761375,R3,146
mp-25511,R-3,148
mp-531175,R3m,160
mp-757457,P1,1
mp-759707,Pnma,62
mp-10623,F-43m,216
mp-765230,P2_1,4
mp-557756,P2_1/c,14
mp-767243,P1,1
mp-767267,C2/c,15
mp-624739,Pm-3m,221
mp-756435,I4/mmm,139
mp-767309,Pnma,62
mp-770143,P-1,2
mp-777665,Pnma,62
mp-779851,Fddd,70
mp-2409,C2/m,12
mp-764765,Cm,8
mp-31784,P2_1,4
mp-7634,P-3c1,165
mp-568015,P2_1/c,14
mp-764913,Amm2,38
mp-767180,C2/m,12
mp-770715,P2/c,13
mp-12505,P6_3mc,186
mp-554445,Ibca,73
mp-765215,Pnma,62
mp-778351,R-3m,166
mp-975308,Pm-3m,221
mp-21836,R-3,148
mp-866339,C2/c,15
mp-763711,Pmn2_1,31
mp-29376,P2_1/m,11
mp-752863,Ccce,68
mp-15074,P3_221,154
mp-5965,Ia-3d,230
mp-778307,Pm,6
mp-32120,P2_1/c,14
mp-679927,P3_121,152
mp-559304,P-1,2
mp-12109,P6_3/mmc,194
mp-555276,Pnma,62
mp-567204,Im-3,204
mp-677803,I-4,82
mp-560028,C2/m,12
mp-631492,F-43m,216
mp-780881,F222,22
mp-18469,P2_1/c,14
mp-29279,P2_1/c,14
mp-557056,Pnma,62
mp-25724,C2/c,15
mp-761451,P2_1/c,14
mp-26796,P-1,2
mp-23934,P2_12_12_1,19
mp-554463,P6_3/m,176
mp-775610,Cm,8
mp-14344,Cmmm,65
mp-775436,R3,146
mp-36600,Fmm2,42
mp-757493,Pm,6
mp-631568,F-43m,216
mp-18787,I4/mmm,139
mp-758073,Pnn2,34
mp-6109,P2_1/c,14
mp-582723,P2_1/c,14
mp-767885,P2_1/c,14
mp-30165,C2/m,12
mp-31385,P6_3/mcm,193
mp-780810,Cm,8
mp-555595,Pna2_1,33
mp-675578,Imma,74
mp-653569,P2_12_12_1,19
mp-753774,R-3m,166
mp-652776,Pnma,62
mp-755790,Pnma,62
mp-696085,P-1,2
mp-19816,P6_3/mmc,194
mp-772869,P-6c2,188
mp-754835,P4_2/nmc,137
mp-767249,Pm,6
mp-19470,Cm,8
mp-850939,P1,1
mp-3312,P-1,2
mp-567391,Pnma,62
mp-721279,Pbca,61
mp-25975,C2/c,15
mp-567057,P-1,2
mp-685414,P2_12_12,18
mp-20546,Ima2,46
mp-753677,R3c,161
mp-1014,P6_3/mmc,194
mp-639410,Cmm2,35
mp-561480,Pnma,62
mp-542020,P4/mbm,127
mp-605688,P2_1/c,14
mp-20620,Fm-3m,225
mp-542723,P4/nmm,129
mp-744148,P2_1/c,14
mp-32398,P2_1/c,14
mp-18814,Cc,9
mp-773463,P2_1/m,11
mp-1885,Pm-3m,221
mp-778277,P1,1
mp-9254,C2/m,12
mp-18373,Pbcn,60
mp-505698,Pmmn,59
mp-782682,P2/m,10
mp-14560,Fd-3m,227
mp-566266,P-1,2
mp-3901,C2/c,15
mp-23648,P-43n,218
mp-764856,P1,1
mp-755091,Cm,8
mp-771906,P2_1/c,14
mp-761479,P2_1/c,14
mp-20803,P4/nmm,129
mp-19643,Pnma,62
mp-720995,P6_3/mmc,194
mp-768756,P2_1/c,14
mp-570227,I-43m,217
mp-776268,Pbca,61
mp-560222,P2_1/m,11
mp-762032,P1,1
mp-763099,Immm,71
mp-672351,C2/c,15
mp-32758,Cmce,64
mp-675069,P1,1
mp-766741,Pnma,62
mp-30800,Imma,74
mp-754798,Cmce,64
mp-504389,P-42_1c,114
mp-3613,R-3m,166
mp-761042,P2_12_12_1,19
mp-570822,Pm-3m,221
mp-27749,C2/c,15
mp-754085,Pnnm,58
mp-758031,C2/c,15
mp-868339,Cc,9
mp-24018,P2_12_12_1,19
mp-9881,Cmcm,63
mp-35718,Im-3m,229
mp-21699,P4_2/mnm,136
mp-18296,I4/m,87
mp-775700,Cm,8
mp-773369,P1,1
mp-29056,Pm-3m,221
mp-762067,P1,1
mp-677246,P1,1
mp-16998,C2/m,12
mp-9194,P4/nmm,129
mp-18228,Pm-3n,223
mp-31486,Pbcm,57
mp-16280,Imma,74
mp-765875,I-4,82
mp-28583,P2_1/c,14
mp-15988,F-43m,216
mp-767412,R3m,160
mp-583424,Pn-3,201
mp-773753,P1,1
mp-8958,Imma,74
mp-777356,C2/c,15
mp-707772,P-1,2
mp-504791,P2_12_12_1,19
mp-21360,Fm-3m,225
mp-715550,P2_1/c,14
mp-690633,I4/m,87
mp-639135,Pnma,62
mp-570594,P6_3,173
mp-766064,P1,1
mp-28896,Fdd2,43
mp-766613,P1,1
mp-776320,R-3,148
mp-1781,Fd-3m,227
mp-779841,Pm,6
mp-753661,P2_1/c,14
mp-769252,C2/c,15
mp-868013,Cm,8
mp-780141,P1,1
mp-765787,P4/nmm,129
mp-863893,C2/c,15
mp-581453,P2_1/c,14
mp-24712,P-1,2
mp-556920,P4/n,85
mp-20087,P4/mmm,123
mp-631379,F-43m,216
mp-673633,Cc,9
mp-978525,P6_3/mmc,194
mp-778509,P2_13,198
mp-676074,C2/c,15
mp-12467,P6_3/mcm,193
mp-779992,P2_1,4
mp-761804,P6_3,173
mp-8279,P-3m1,164
mp-17512,P2_1/c,14
mp-675406,I-42d,122
mp-766860,Pna2_1,33
mp-531975,P6_3,173
mp-972044,Pm-3m,221
mp-780108,C2/m,12
mp-765106,Cc,9
mp-510565,Cmce,64
mp-14367,P2_12_12_1,19
mp-32004,Pc,7
mp-33319,P1,1
mp-768382,Pbam,55
mp-7915,P4/nmm,129
mp-778758,Cm,8
mp-721876,P2_1/c,14
mp-555070,Fddd,70
mp-556878,P-1,2
mp-3074,I4/mmm,139
mp-23007,Pnma,62
mp-764139,C2/c,15
mp-770700,P2_1/m,11
mp-763,P6/mmm,191
mp-23267,Ibam,72
mp-13772,P2_1/c,14
mp-28020,P-42c,112
mp-763586,Pc,7
mp-13676,Cmcm,63
mp-559350,P-1,2
mp-25074,Fddd,70
mp-696136,P4_2mc,105
mp-769644,Imm2,44
mp-779161,Fddd,70
mp-691162,P1,1
mp-8845,C2/c,15
mp-972784,P6_3/mmc,194
mp-32689,I-42d,122
mp-556253,C2/m,12
mp-867976,P-1,2
mp-768319,Pc,7
mp-10918,P-3m1,164
mp-8212,Cmmm,65
mp-18967,Fm-3m,225
mp-773468,Imma,74
mp-559145,P-31c,163
mp-15547,C2/c,15
mp-1210,P6/mmm,191
mp-565569,C2/c,15
mp-553918,Pnn2,34
mp-755530,P2_1/c,14
mp-13095,P-62m,189
mp-504228,R-3,148
mp-777147,P1,1
mp-767498,P3,143
mp-9789,P2_1/c,14
mp-2176,F-43m,216
mp-585408,R-3,148
mp-561194,I4_1/acd,142
mp-868627,P321,150
mp-770998,P2_1/m,11
mp-767353,Cm,8
mp-541108,C2/c,15
mp-569760,P6_3/mcm,193
mp-763525,P1,1
mp-626557,Cm,8
mp-774362,Pm,6
mp-764526,P2_1,4
mp-556425,P2_1/c,14
mp-4835,P6_3/mmc,194
mp-774160,P2/m,10
mp-540728,P4_2/mnm,136
mp-6254,I4/m,87
mp-567807,I4/mmm,139
mp-975914,Fm-3m,225
mp-540320,Pc,7
mp-776112,P4_332,212
mp-770949,P2_1,4
mp-616425,Pnma,62
mp-559790,C2/c,15
mp-755031,P2_1,4
mp-554724,Cmce,64
mp-558380,C2/c,15
mp-775278,P31c,159
mp-558014,Pnnm,58
mp-2408,Pbam,55
mp-25776,P2_1/c,14
mp-570175,I4/mcm,140
mp-744737,Pna2_1,33
mp-763176,P1,1
mp-631694,Fm-3m,225
mp-21703,P2_13,198
mp-31306,P2_12_12_1,19
mp-640531,P-1,2
mp-1711,Cmcm,63
mp-910,Fm-3m,225
mp-762252,P2_1,4
mp-770741,Cmce,64
mp-762164,P1,1
mp-542461,P2_1/c,14
mp-558159,Pnma,62
mp-757594,P6_1,169
mp-626542,P1,1
mp-8375,I4/mmm,139
mp-762705,P-1,2
mp-22694,Pna2_1,33
mp-764782,C2/c,15
mp-30635,Pm-3m,221
mp-777663,P1,1
mp-978989,P6_3mc,186
mp-25797,Pnma,62
mp-704645,C2/c,15
mp-555509,P6_3,173
mp-622353,Pnma,62
mp-556298,Pnnm,58
mp-22197,F-43m,216
mp-721081,Pna2_1,33
mp-770140,Cm,8
mp-1175,Aea2,41
mp-685007,P2,3
mp-560848,P2_1/c,14
mp-695945,Pnnm,58
mp-759472,Pna2_1,33
mp-11852,Imma,74
mp-864675,R-3c,167
mp-22885,I4/mmm,139
mp-28934,Pnma,62
mp-976341,Fm-3m,225
mp-35714,I-4,82
mp-772456,Cc,9
mp-864657,P6_3/mmc,194
mp-17927,Pnma,62
mp-980662,Fm-3m,225
mp-773551,P1,1
mp-744517,Pbca,61
mp-626155,P2_12_12,18
mp-7569,R-3m,166
mp-981393,Fm-3m,225
mp-754161,C2/m,12
mp-570445,Pnma,62
mp-3000,Pm-3m,221
mp-673656,I-42d,122
mp-760477,Ama2,40
mp-10489,P4_2/mcm,132
mp-30103,Pnma,62
mp-777053,P1,1
mp-505573,Fd-3m,227
mp-24007,P2_1/m,11
mp-753508,Pnma,62
mp-758225,P-1,2
mp-774404,C2/c,15
mp-21328,P2_13,198
mp-9919,P6_3mc,186
mp-676664,P-3m1,164
mp-554140,C2/m,12
mp-771899,P2_1/c,14
mp-974920,I4/mmm,139
mp-7392,Cmcm,63
mp-611712,I4/mmm,139
mp-532676,P1,1
mp-772131,C2/m,12
mp-770163,P2_1/c,14
mp-754075,P2_1,4
mp-21031,Pm-3m,221
mp-754138,P6_3/mmc,194
mp-15501,P-43n,218
mp-763080,C2/m,12
mp-631383,F-43m,216
mp-768280,P-1,2
mp-765252,Pnma,62
mp-23287,Pa-3,205
mp-685833,Cm,8
mp-6566,P6_3,173
mp-754978,Pmmn,59
mp-625238,P2_1,4
mp-769728,C2/m,12
mp-642,Fm-3c,226
mp-8628,R-3m,166
mp-775568,Pc,7
mp-705024,P1,1
mp-763978,P-1,2
mp-772401,R-3c,167
mp-868355,Pbam,55
mp-2758,Fm-3m,225
mp-783919,P-1,2
mp-13308,F-43m,216
mp-763623,P2_1,4
mp-759406,P2_1/c,14
mp-23195,P-42_1c,114
mp-12022,Pmn2_1,31
mp-7798,Pna2_1,33
mp-763246,Pc,7
mp-777007,P2_1,4
mp-540834,Fd-3m,227
mp-23416,Pnma,62
mp-765150,P-1,2
mp-706664,P2_1/c,14
mp-675104,R-3,148
mp-567145,P2_1/m,11
mp-640266,Pm-3m,221
mp-777684,P2_1/c,14
mp-772867,P2_1,4
mp-568338,Cmce,64
mp-636647,P2_1/c,14
mp-761341,I4_1md,109
mp-570409,Pm-3m,221
mp-721238,P1,1
mp-706937,P2_1/c,14
mp-567498,Fm-3m,225
mp-15335,Pna2_1,33
mp-3642,P6_3/mmc,194
mp-734019,P2_1/c,14
mp-761932,P1,1
mp-8667,R-3m,166
mp-562338,P2_1/c,14
mp-652866,I-42m,121
mp-764349,P-1,2
mp-767796,C2/c,15
mp-775241,I-4m2,119
mp-530722,C2/m,12
mp-32115,P2_12_12_1,19
mp-676937,C2,5
mp-763275,P1,1
mp-1597,Fm-3m,225
mp-764168,P1,1
mp-4326,R-3m,166
mp-627029,P2_1/c,14
mp-767774,R3,146
mp-779889,Pbca,61
mp-12485,P6_3,173
mp-8547,R-3,148
mp-20650,P6_3/mmc,194
mp-573044,Pna2_1,33
mp-29207,I4/mmm,139
mp-21297,I4/mcm,140
mp-15796,R-3m,166
mp-554775,P2_12_12,18
mp-23949,Pm-3m,221
mp-770505,Cm,8
mp-765728,P1,1
mp-560459,Cmc2_1,36
mp-697660,P2_1/c,14
mp-510409,Pnma,62
mp-24051,R-3m,166
mp-19996,Fm-3m,225
mp-14445,Fddd,70
mp-28643,P2_1/c,14
mp-864755,Fm-3m,225
mp-30857,Pbam,55
mp-25065,C2/c,15
mp-15239,Ia-3d,230
mp-28544,P6_3mc,186
mp-617548,P31c,159
mp-767097,P1,1
mp-697033,P-1,2
mp-23685,Pbca,61
mp-767740,P2_12_12_1,19
mp-763532,P-1,2
mp-762587,Pca2_1,29
mp-11652,Pm-3m,221
mp-9925,I4/mmm,139
mp-768284,P-1,2
mp-19306,R-3m,166
mp-786,P6_3/mmc,194
mp-685128,P1,1
mp-777420,R3,146
mp-565883,I4_1/amd,141
mp-770676,C2/c,15
mp-765273,P2_1/c,14
mp-765639,P1,1
mp-767771,P-1,2
mp-775275,R3,146
mp-25405,P-1,2
mp-553896,Fm-3m,225
mp-30677,Pnma,62
mp-677617,Pna2_1,33
mp-37263,I-42d,122
mp-868664,P2_1/c,14
mp-608543,Pbam,55
mp-763559,P-1,2
mp-540395,P6_3,173
mp-21272,F-43m,216
mp-770160,C2/c,15
mp-505181,P2_1/c,14
mp-764711,C2/m,12
mp-12900,Pnma,62
mp-569823,Fm-3m,225
mp-764018,P1,1
mp-2395,Im-3,204
mp-763110,P-1,2
mp-38605,R-3m,166
mp-19066,Cmmm,65
mp-776823,P1,1
mp-32104,P2_1/c,14
mp-550714,Pca2_1,29
mp-773525,P-1,2
mp-561133,C2/m,12
mp-771097,C2/m,12
mp-555164,P2_1/c,14
mp-697317,P2_1,4
mp-778169,R-3c,167
mp-31468,Pnma,62
mp-755472,P2_1,4
mp-5055,P6_3mc,186
mp-10287,I-4m2,119
mp-532358,Pmmn,59
mp-560977,C2/m,12
mp-980940,I4/mmm,139
mp-505421,Fd-3m,227
mp-773403,P1,1
mp-581733,P4/mcc,124
mp-763471,P2_1/c,14
mp-625888,C2/c,15
mp-3584,P2_1/c,14
mp-683668,P-1,2
mp-9158,C2/m,12
mp-10347,P4/mmm,123
mp-5444,Ia-3d,230
mp-773252,Aea2,41
mp-4227,P6_3/mmc,194
mp-744580,P2_1/c,14
mp-7166,Pm-3m,221
mp-505743,Pnma,62
mp-773510,P-4m2,115
mp-1437,Fd-3m,227
mp-540922,P2_1/c,14
mp-761660,P-1,2
mp-773536,P2_1/c,14
mp-975933,Fm-3m,225
mp-720296,Pbca,61
mp-31217,Cmmm,65
mp-744430,C2/c,15
mp-19386,R-3m,166
mp-559096,P2_1/c,14
mp-974816,Fm-3m,225
mp-760501,Cmcm,63
mp-2571,I-43d,220
mp-557320,I4/mmm,139
mp-626565,C2,5
mp-19609,P2_1/c,14
mp-631257,F-43m,216
mp-973203,Fm-3m,225
mp-780631,Pm,6
mp-569517,R-3m,166
mp-769698,C2/m,12
mp-28220,P-31c,163
mp-984765,P6_3/mmc,194
mp-16118,Cmcm,63
mp-674944,I-42d,122
mp-772357,P2_1/m,11
mp-558534,Pmna,53
mp-631255,F-43m,216
mp-777078,P4/mnc,128
mp-763449,Cm,8
mp-626977,P1,1
mp-19473,P2_1/c,14
mp-30370,P6_3cm,185
mp-631288,F-43m,216
mp-600003,I4/mmm,139
mp-580234,Pm-3m,221
mp-14743,Pbca,61
mp-504496,Im-3m,229
mp-776774,P4_1,76
mp-772423,R3,146
mp-651026,P-1,2
mp-24614,Pna2_1,33
mp-683897,Pm-3n,223
mp-10185,Pm-3m,221
mp-771475,P1,1
mp-2700,R-3m,166
mp-581934,Pm-3m,221
mp-770111,Pnna,52
mp-24670,P-62c,190
mp-29176,R-3m,166
mp-532273,P6_3mc,186
mp-570604,P6_3/mmc,194
mp-7744,C2/m,12
mp-29690,P2_1/c,14
mp-637575,Pmmm,47
mp-24123,Fm-3,202
mp-767936,Cm,8
mp-567091,P2/m,10
mp-561446,Imm2,44
mp-691,Pnma,62
mp-550436,C2/m,12
mp-770590,P1,1
mp-761484,Pca2_1,29
mp-560902,P4_2/mnm,136
mp-17808,P-3c1,165
mp-24917,P4_2/mnm,136
mp-767284,Cm,8
mp-772367,P2_1/c,14
mp-769553,P2/m,10
mp-23432,P4/nmm,129
mp-867889,P4/nmm,129
mp-2717,C2/m,12
mp-768231,P6_3/mmc,194
mp-753384,F-43m,216
mp-554648,R-3c,167
mp-738609,C2/c,15
mp-560049,P-1,2
mp-556962,P6_3,173
mp-29237,Pnma,62
mp-24610,Pna2_1,33
mp-765317,P-1,2
mp-9272,P-3m1,164
mp-35539,I-42m,121
mp-558083,Cmce,64
mp-35751,P4_2nm,102
mp-1557,P-3c1,165
mp-5683,I4/mmm,139
mp-12983,Pm-3m,221
mp-27914,I-43m,217
mp-752453,Pnma,62
mp-776005,P1,1
mp-568557,Pbca,61
mp-978099,P2_1/m,11
mp-600366,Pbca,61
mp-760781,R-3,148
mp-9565,P-3m1,164
mp-4575,Pbca,61
mp-546125,I4_1/amd,141
mp-28929,Pmmn,59
mp-31983,P2_1/c,14
mp-675797,C2/c,15
mp-696701,Pnma,62
mp-640189,P-1,2
mp-773739,P1,1
mp-758088,Immm,71
mp-771614,P-1,2
mp-541932,P2/c,13
mp-851004,Cm,8
mp-868004,C2/c,15
mp-775452,Cm,8
mp-767700,P-1,2
mp-565395,P2_12_12_1,19
mp-982870,Fm-3m,225
mp-2796,Pm-3m,221
mp-22759,Pnma,62
mp-570753,P4_1,76
mp-14390,P4_132,213
mp-980198,Fm-3m,225
mp-643701,Pbcn,60
mp-541912,R-3m,166
mp-22913,F-43m,216
mp-569533,P2_1/c,14
mp-18949,Cmcm,63
mp-850922,P1,1
mp-567626,Cmcm,63
mp-18162,Pnma,62
mp-973402,Fm-3m,225
mp-622636,Fm-3m,225
mp-978652,P6_3/mmc,194
mp-8686,P2_13,198
mp-9636,R-3,148
mp-866941,P2_1/c,14
mp-19082,R-3,148
mp-675645,I-42d,122
mp-772159,C2/m,12
mp-744208,Pnma,62
mp-31664,Cmcm,63
mp-557466,P-43m,215
mp-19230,P-3m1,164
mp-780444,P1,1
mp-18939,P-43m,215
mp-10311,I4/mmm,139
mp-510691,P6_3/mcm,193
mp-29408,Pc,7
mp-771434,P-1,2
mp-757365,C2/m,12
mp-574244,I4/mmm,139
mp-579234,Pbca,61
mp-754850,R3m,160
mp-7800,P2_1/c,14
mp-763429,C2/m,12
mp-772696,C2/c,15
mp-771862,C2/m,12
mp-763662,P321,150
mp-567705,I4_1/amd,141
mp-780891,Cc,9
mp-755300,Pm-3m,221
mp-763438,Pna2_1,33
mp-770655,C2/c,15
mp-757612,C2/m,12
mp-765796,R-3m,166
mp-853195,P1,1
mp-27355,P4_2/nmc,137
mp-973874,Fm-3m,225
mp-2444,Pm-3m,221
mp-766790,R-3,148
mp-674849,P2_1/m,11
mp-24940,Fd-3m,227
mp-12063,I4/mmm,139
mp-771384,Fd-3m,227
mp-777101,C2/m,12
mp-679669,P2_1/c,14
mp-32736,I-42d,122
mp-541519,Imm2,44
mp-868319,P1,1
mp-849383,P1,1
mp-510311,P6_3/mmc,194
mp-707908,Pbca,61
mp-770225,P1,1
mp-696221,C222_1,20
mp-30195,P4/nmm,129
mp-11165,Pbcn,60
mp-558805,P2_1/c,14
mp-771334,P2_1,4
mp-562607,P6_422,181
mp-12317,R-3m,166
mp-849236,P1,1
mp-764570,P1,1
mp-761036,Cmcm,63
mp-744027,C2/c,15
mp-20411,F-43m,216
